Date,Country,AOL,All the Web,AltaVista,Ask,Excite,Google,Lycos,MSN,Yahoo, Others,Source
2001-03-27,US,,,,,,12,,15,36.5,36.5,SEW/WebSideStory
2002-03-26,US,,,,,,29.5,,14.5,36,20,SEW/WebSiteStory
2003-03-25,US,,,,,,37,,18,32,13,SEW/WebSiteStory
2004-03-24,US,,,,,,40.9,,19.6,27.4,12.1,SEW/WebSiteStory
2004-10-01,US,4.58,0.09,0.74,1.36,0.36,57.24,0.04,14.98,17.19,,NetApplications
2004-11-01,US,4.37,0.08,0.71,1.26,0.32,57.46,0.04,13.89,18.43,,NetApplications
2004-12-01,US,4.21,0.08,0.66,1.16,0.3,56.89,0.07,13.37,19.66,,NetApplications
2005-01-01,US,4.37,0.08,0.61,1.25,0.29,56.62,0.09,13.37,19.95,,NetApplications
2005-02-01,US,4.14,0.07,0.56,1.2,0.26,57.36,0.09,13.5,19.49,,NetApplications
2005-03-01,US,4.08,0.07,0.55,1.14,0.25,58.13,0.08,12.78,19.56,,NetApplications
2005-04-01,US,3.88,0.06,0.51,1.14,0.22,59.78,0.08,12.92,18.04,,NetApplications
2005-05-01,US,3.9,0.06,0.48,1.01,0.21,61.56,0.07,12.43,17.36,,NetApplications
2005-06-01,US,3.9,0.05,0.44,0.85,0.2,62.47,0.07,12.26,17.08,,NetApplications
2005-07-01,US,3.97,0.05,0.42,0.93,0.19,62.54,0.08,12.65,16.9,,NetApplications
2005-08-01,US,3.95,0.04,0.4,1.21,0.18,62.44,0.1,12.79,16.64,,NetApplications
2005-09-01,US,3.94,0.05,0.4,1.21,0.17,64.24,0.11,12.75,15.02,,NetApplications
2005-10-01,US,4.02,0.04,0.38,1.38,0.17,65.43,0.1,11.79,14.59,,NetApplications
2005-11-01,US,3.64,0.04,0.38,1.39,0.17,65.28,0.1,11.7,15.2,,NetApplications
2005-12-01,US,3.6,0.04,0.37,1.26,0.18,66.44,0.08,10.92,15.09,,NetApplications
2006-01-01,US,4.06,0.05,0.36,1.36,0.16,65.57,0.08,11.28,15.23,,NetApplications
2006-02-01,US,3.23,0.04,0.34,1.17,0.15,67.13,0.08,10.98,15.06,,NetApplications
2006-03-01,US,2.19,0.04,0.33,1.23,0.14,68.69,0.06,10.57,15.05,,NetApplications
2006-04-01,US,2.01,0.04,0.31,1.32,0.14,69.81,0.07,9.43,15.19,,NetApplications
2006-05-01,US,1.93,0.04,0.31,1.37,0.13,70.57,0.06,9.23,14.73,,NetApplications
2006-06-01,US,1.83,0.04,0.29,1.21,0.13,71.15,0.04,9.1,14.61,,NetApplications
2006-07-01,US,1.86,0.04,0.28,1.05,0.13,71.07,0.04,8.65,15.38,,NetApplications
2006-08-01,US,1.76,0.03,0.27,1.03,0.13,71.96,0.04,8.29,15.11,,NetApplications
2006-09-01,US,1.72,0.03,0.27,1.21,0.12,75.1,0.04,5.94,14.25,,NetApplications
2006-10-01,US,1.9,0.03,0.26,1.23,0.11,74.65,0.04,6.95,13.52,,NetApplications
2006-11-01,US,2.49,0.03,0.27,1.28,0.11,75.52,0.03,6.97,11.93,,NetApplications
2006-12-01,US,2.37,0.03,0.29,1.39,0.11,74.98,0.04,6.9,12.52,,NetApplications
2007-01-01,US,2.37,0.03,0.24,1.39,0.1,74.26,0.04,6.87,13.39,,NetApplications
2007-02-01,US,2.26,0.03,0.23,1.3,0.1,75.91,0.03,6.51,12.38,,NetApplications
2007-03-01,US,2.41,0.03,0.19,1.15,0.09,77.66,0.03,6.16,11.23,,NetApplications
2007-04-01,US,2.44,0.02,0.18,1.27,0.09,77.21,0.03,6.09,11.58,,NetApplications
2007-05-01,US,2.53,0.03,0.2,1.42,0.1,74.54,0.03,6.72,13.37,,NetApplications
2007-06-01,US,2.64,0.02,0.19,1.3,0.09,73.75,0.03,6.75,14.14,,NetApplications
2007-07-01,US,2.69,0.02,0.17,1.21,0.09,73.94,0.03,6.62,14.23,,NetApplications
2007-08-01,US,2.41,0.02,0.16,1.13,0.08,75.65,0.03,6.36,13.21,,NetApplications
2007-09-01,US,2.25,0.02,0.15,1.27,0.07,76.96,0.03,6,12.32,,NetApplications
2007-10-01,,2.1,0.02,0.13,1.36,0.07,78.07,0.02,5.89,11.42,,NetApplications
2007-11-01,,2.09,0.02,0.14,1.53,0.07,76.51,0.02,6.03,12.64,,NetApplications
2007-12-01,,2.12,0.02,0.13,1.38,0.07,77.04,0.02,5.9,12.46,,NetApplications
2008-01-01,,2.13,0.02,0.13,1.42,0.07,77.11,0.02,6.02,12.23,,NetApplications
2008-02-01,,2.11,0.02,0.12,1.3,0.06,77.27,0.01,6,12.23,,NetApplications
2008-03-01,,2.11,0.02,0.12,1.3,0.06,77.27,0.01,6,12.23,,NetApplications
2008-04-01,,2.11,0.02,0.12,1.3,0.06,77.27,0.01,6,12.23,,NetApplications
2008-05-01,,2.4,0.01,0.11,1.37,0.07,77.23,0.01,5.75,12.24,,NetApplications
